  # Source : cellZone fluid
# Cells  : 25373
# Time	sum(V)	volAverage(T)
5.889062e+01	5.751203e+01	3.366742e+02
5.920312e+01	5.751203e+01	3.366425e+02
5.951562e+01	5.751203e+01	3.366111e+02
5.982812e+01	5.751203e+01	3.365799e+02
6.014062e+01	5.751203e+01	3.365491e+02
6.045312e+01	5.751203e+01	3.365185e+02
6.076562e+01	5.751203e+01	3.364881e+02
6.107812e+01	5.751203e+01	3.364580e+02
6.139062e+01	5.751203e+01	3.364281e+02
6.170312e+01	5.751203e+01	3.363985e+02
6.201562e+01	5.751203e+01	3.363690e+02
6.232812e+01	5.751203e+01	3.363398e+02
6.264062e+01	5.751203e+01	3.363108e+02
6.295312e+01	5.751203e+01	3.362820e+02
6.326562e+01	5.751203e+01	3.362534e+02
6.357812e+01	5.751203e+01	3.362250e+02
6.389062e+01	5.751203e+01	3.361968e+02
6.420312e+01	5.751203e+01	3.361687e+02
6.451562e+01	5.751203e+01	3.361409e+02
6.482812e+01	5.751203e+01	3.361132e+02
6.514062e+01	5.751203e+01	3.360856e+02
6.545312e+01	5.751203e+01	3.360582e+02
6.576562e+01	5.751203e+01	3.360310e+02
6.607812e+01	5.751203e+01	3.360040e+02
6.639062e+01	5.751203e+01	3.359770e+02
6.670312e+01	5.751203e+01	3.359503e+02
6.701562e+01	5.751203e+01	3.359236e+02
6.732812e+01	5.751203e+01	3.358972e+02
6.764062e+01	5.751203e+01	3.358708e+02
6.795312e+01	5.751203e+01	3.358446e+02
6.826562e+01	5.751203e+01	3.358185e+02
6.857812e+01	5.751203e+01	3.357926e+02
6.889062e+01	5.751203e+01	3.357667e+02
6.920312e+01	5.751203e+01	3.357410e+02
6.951562e+01	5.751203e+01	3.357154e+02
6.982812e+01	5.751203e+01	3.356900e+02
7.014062e+01	5.751203e+01	3.356646e+02
7.045312e+01	5.751203e+01	3.356394e+02
7.076562e+01	5.751203e+01	3.356142e+02
7.107812e+01	5.751203e+01	3.355892e+02
7.139062e+01	5.751203e+01	3.355643e+02
7.170312e+01	5.751203e+01	3.355395e+02
7.201562e+01	5.751203e+01	3.355148e+02
7.232812e+01	5.751203e+01	3.354901e+02
7.264062e+01	5.751203e+01	3.354656e+02
7.295312e+01	5.751203e+01	3.354412e+02
7.326562e+01	5.751203e+01	3.354169e+02
7.357812e+01	5.751203e+01	3.353927e+02
7.389062e+01	5.751203e+01	3.353685e+02
7.420312e+01	5.751203e+01	3.353445e+02
7.451562e+01	5.751203e+01	3.353205e+02
7.482812e+01	5.751203e+01	3.352966e+02
7.514062e+01	5.751203e+01	3.352728e+02
7.545312e+01	5.751203e+01	3.352491e+02
7.576562e+01	5.751203e+01	3.352255e+02
7.607812e+01	5.751203e+01	3.352020e+02
7.639062e+01	5.751203e+01	3.351785e+02
7.670312e+01	5.751203e+01	3.351551e+02
7.701562e+01	5.751203e+01	3.351318e+02
7.732812e+01	5.751203e+01	3.351086e+02
7.764062e+01	5.751203e+01	3.350854e+02
7.795312e+01	5.751203e+01	3.350624e+02
7.826562e+01	5.751203e+01	3.350393e+02
7.857812e+01	5.751203e+01	3.350164e+02
7.889062e+01	5.751203e+01	3.349935e+02
7.920312e+01	5.751203e+01	3.349707e+02
7.951562e+01	5.751203e+01	3.349480e+02
7.982812e+01	5.751203e+01	3.349253e+02
8.014062e+01	5.751203e+01	3.349027e+02
8.045312e+01	5.751203e+01	3.348802e+02
8.076562e+01	5.751203e+01	3.348578e+02
