  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
1.079531e+02	3.143397e+00	5.503713e+02
1.082656e+02	3.143397e+00	5.502282e+02
1.085781e+02	3.143397e+00	5.500853e+02
1.088906e+02	3.143397e+00	5.499426e+02
1.092031e+02	3.143397e+00	5.498000e+02
1.095156e+02	3.143397e+00	5.496576e+02
1.098281e+02	3.143397e+00	5.495154e+02
1.101406e+02	3.143397e+00	5.493733e+02
1.104531e+02	3.143397e+00	5.492314e+02
1.107656e+02	3.143397e+00	5.490896e+02
1.110781e+02	3.143397e+00	5.489481e+02
1.113906e+02	3.143397e+00	5.488066e+02
1.117031e+02	3.143397e+00	5.486654e+02
1.120156e+02	3.143397e+00	5.485243e+02
1.123281e+02	3.143397e+00	5.483833e+02
1.126406e+02	3.143397e+00	5.482425e+02
1.129531e+02	3.143397e+00	5.481019e+02
1.132656e+02	3.143397e+00	5.479614e+02
1.135781e+02	3.143397e+00	5.478211e+02
1.138906e+02	3.143397e+00	5.476809e+02
1.142031e+02	3.143397e+00	5.475409e+02
1.145156e+02	3.143397e+00	5.474010e+02
1.148281e+02	3.143397e+00	5.472613e+02
1.151406e+02	3.143397e+00	5.471217e+02
1.154531e+02	3.143397e+00	5.469823e+02
1.157656e+02	3.143397e+00	5.468430e+02
1.160781e+02	3.143397e+00	5.467038e+02
1.163906e+02	3.143397e+00	5.465648e+02
1.167031e+02	3.143397e+00	5.464260e+02
1.170156e+02	3.143397e+00	5.462873e+02
1.173281e+02	3.143397e+00	5.461487e+02
1.176406e+02	3.143397e+00	5.460103e+02
1.179531e+02	3.143397e+00	5.458720e+02
1.182656e+02	3.143397e+00	5.457339e+02
1.185781e+02	3.143397e+00	5.455958e+02
1.188906e+02	3.143397e+00	5.454580e+02
1.192031e+02	3.143397e+00	5.453202e+02
1.195156e+02	3.143397e+00	5.451826e+02
1.198281e+02	3.143397e+00	5.450452e+02
1.201406e+02	3.143397e+00	5.449078e+02
1.204531e+02	3.143397e+00	5.447706e+02
1.207656e+02	3.143397e+00	5.446336e+02
1.210781e+02	3.143397e+00	5.444966e+02
1.213906e+02	3.143397e+00	5.443598e+02
1.217031e+02	3.143397e+00	5.442232e+02
1.220156e+02	3.143397e+00	5.440866e+02
1.223281e+02	3.143397e+00	5.439502e+02
1.226406e+02	3.143397e+00	5.438139e+02
1.229531e+02	3.143397e+00	5.436778e+02
1.232656e+02	3.143397e+00	5.435418e+02
1.235781e+02	3.143397e+00	5.434058e+02
1.238906e+02	3.143397e+00	5.432701e+02
1.242031e+02	3.143397e+00	5.431344e+02
1.245156e+02	3.143397e+00	5.429989e+02
1.248281e+02	3.143397e+00	5.428635e+02
1.251406e+02	3.143397e+00	5.427282e+02
1.254531e+02	3.143397e+00	5.425930e+02
1.257656e+02	3.143397e+00	5.424580e+02
1.260781e+02	3.143397e+00	5.423231e+02
1.263906e+02	3.143397e+00	5.421883e+02
1.267031e+02	3.143397e+00	5.420536e+02
1.270156e+02	3.143397e+00	5.419190e+02
1.273281e+02	3.143397e+00	5.417846e+02
1.276406e+02	3.143397e+00	5.416503e+02
1.279531e+02	3.143397e+00	5.415160e+02
1.282656e+02	3.143397e+00	5.413820e+02
1.285781e+02	3.143397e+00	5.412480e+02
1.288906e+02	3.143397e+00	5.411141e+02
1.292031e+02	3.143397e+00	5.409804e+02
1.295156e+02	3.143397e+00	5.408467e+02
1.298281e+02	3.143397e+00	5.407132e+02
1.301406e+02	3.143397e+00	5.405798e+02
1.304531e+02	3.143397e+00	5.404465e+02
1.307656e+02	3.143397e+00	5.403133e+02
1.310781e+02	3.143397e+00	5.401803e+02
1.313906e+02	3.143397e+00	5.400473e+02
1.317031e+02	3.143397e+00	5.399145e+02
1.320156e+02	3.143397e+00	5.397817e+02
1.323281e+02	3.143397e+00	5.396491e+02
1.326406e+02	3.143397e+00	5.395166e+02
1.329531e+02	3.143397e+00	5.393842e+02
1.332656e+02	3.143397e+00	5.392518e+02
1.335781e+02	3.143397e+00	5.391196e+02
1.338906e+02	3.143397e+00	5.389876e+02
1.342031e+02	3.143397e+00	5.388556e+02
1.345156e+02	3.143397e+00	5.387237e+02
1.348281e+02	3.143397e+00	5.385919e+02
1.351406e+02	3.143397e+00	5.384603e+02
1.354531e+02	3.143397e+00	5.383287e+02
1.357656e+02	3.143397e+00	5.381972e+02
