  # Source : patch outlet
# Faces  : 160
# Time	sum(magSf)	weightedAverage(T)
1.113906e+02	8.718506e+00	3.548274e+02
1.117031e+02	8.718506e+00	3.547963e+02
1.120156e+02	8.718506e+00	3.547651e+02
1.123281e+02	8.718506e+00	3.547341e+02
1.126406e+02	8.718506e+00	3.547030e+02
1.129531e+02	8.718506e+00	3.546720e+02
1.132656e+02	8.718506e+00	3.546411e+02
1.135781e+02	8.718506e+00	3.546101e+02
1.138906e+02	8.718506e+00	3.545792e+02
1.142031e+02	8.718506e+00	3.545484e+02
1.145156e+02	8.718506e+00	3.545176e+02
1.148281e+02	8.718506e+00	3.544868e+02
1.151406e+02	8.718506e+00	3.544561e+02
1.154531e+02	8.718506e+00	3.544253e+02
1.157656e+02	8.718506e+00	3.543947e+02
1.160781e+02	8.718506e+00	3.543640e+02
1.163906e+02	8.718506e+00	3.543334e+02
1.167031e+02	8.718506e+00	3.543029e+02
1.170156e+02	8.718506e+00	3.542723e+02
1.173281e+02	8.718506e+00	3.542419e+02
1.176406e+02	8.718506e+00	3.542114e+02
1.179531e+02	8.718506e+00	3.541810e+02
1.182656e+02	8.718506e+00	3.541506e+02
1.185781e+02	8.718506e+00	3.541202e+02
1.188906e+02	8.718506e+00	3.540899e+02
1.192031e+02	8.718506e+00	3.540596e+02
1.195156e+02	8.718506e+00	3.540293e+02
1.198281e+02	8.718506e+00	3.539991e+02
1.201406e+02	8.718506e+00	3.539689e+02
1.204531e+02	8.718506e+00	3.539388e+02
1.207656e+02	8.718506e+00	3.539086e+02
1.210781e+02	8.718506e+00	3.538785e+02
1.213906e+02	8.718506e+00	3.538485e+02
1.217031e+02	8.718506e+00	3.538184e+02
1.220156e+02	8.718506e+00	3.537884e+02
1.223281e+02	8.718506e+00	3.537585e+02
1.226406e+02	8.718506e+00	3.537285e+02
1.229531e+02	8.718506e+00	3.536986e+02
1.232656e+02	8.718506e+00	3.536687e+02
1.235781e+02	8.718506e+00	3.536389e+02
1.238906e+02	8.718506e+00	3.536090e+02
1.242031e+02	8.718506e+00	3.535793e+02
1.245156e+02	8.718506e+00	3.535495e+02
1.248281e+02	8.718506e+00	3.535198e+02
1.251406e+02	8.718506e+00	3.534901e+02
1.254531e+02	8.718506e+00	3.534604e+02
1.257656e+02	8.718506e+00	3.534307e+02
1.260781e+02	8.718506e+00	3.534011e+02
1.263906e+02	8.718506e+00	3.533715e+02
1.267031e+02	8.718506e+00	3.533420e+02
1.270156e+02	8.718506e+00	3.533124e+02
1.273281e+02	8.718506e+00	3.532829e+02
1.276406e+02	8.718506e+00	3.532534e+02
1.279531e+02	8.718506e+00	3.532240e+02
1.282656e+02	8.718506e+00	3.531946e+02
1.285781e+02	8.718506e+00	3.531652e+02
1.288906e+02	8.718506e+00	3.531358e+02
1.292031e+02	8.718506e+00	3.531065e+02
1.295156e+02	8.718506e+00	3.530772e+02
1.298281e+02	8.718506e+00	3.530479e+02
1.301406e+02	8.718506e+00	3.530186e+02
1.304531e+02	8.718506e+00	3.529894e+02
1.307656e+02	8.718506e+00	3.529602e+02
1.310781e+02	8.718506e+00	3.529310e+02
1.313906e+02	8.718506e+00	3.529018e+02
1.317031e+02	8.718506e+00	3.528727e+02
1.320156e+02	8.718506e+00	3.528436e+02
1.323281e+02	8.718506e+00	3.528145e+02
1.326406e+02	8.718506e+00	3.527854e+02
1.329531e+02	8.718506e+00	3.527564e+02
1.332656e+02	8.718506e+00	3.527274e+02
1.335781e+02	8.718506e+00	3.526984e+02
1.338906e+02	8.718506e+00	3.526695e+02
1.342031e+02	8.718506e+00	3.526405e+02
1.345156e+02	8.718506e+00	3.526116e+02
1.348281e+02	8.718506e+00	3.525827e+02
1.351406e+02	8.718506e+00	3.525539e+02
1.354531e+02	8.718506e+00	3.525251e+02
1.357656e+02	8.718506e+00	3.524962e+02
1.360781e+02	8.718506e+00	3.524675e+02
1.363906e+02	8.718506e+00	3.524387e+02
1.367031e+02	8.718506e+00	3.524100e+02
1.370156e+02	8.718506e+00	3.523812e+02
1.373281e+02	8.718506e+00	3.523526e+02
1.376406e+02	8.718506e+00	3.523239e+02
1.379531e+02	8.718506e+00	3.522952e+02
1.382656e+02	8.718506e+00	3.522666e+02
1.385781e+02	8.718506e+00	3.522380e+02
1.388906e+02	8.718506e+00	3.522094e+02
1.392031e+02	8.718506e+00	3.521809e+02
1.395156e+02	8.718506e+00	3.521523e+02
1.398281e+02	8.718506e+00	3.521238e+02
1.401406e+02	8.718506e+00	3.520954e+02
1.404531e+02	8.718506e+00	3.520669e+02
1.407656e+02	8.718506e+00	3.520384e+02
1.410781e+02	8.718506e+00	3.520100e+02
1.413906e+02	8.718506e+00	3.519816e+02
1.417031e+02	8.718506e+00	3.519532e+02
1.420156e+02	8.718506e+00	3.519249e+02
1.423281e+02	8.718506e+00	3.518966e+02
1.426406e+02	8.718506e+00	3.518682e+02
1.429531e+02	8.718506e+00	3.518400e+02
