  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volIntegrate(T)
1.564067e+03	5.221114e-01	1.680269e+02
1.564585e+03	5.221114e-01	1.680168e+02
1.565104e+03	5.221114e-01	1.680067e+02
1.565622e+03	5.221114e-01	1.679966e+02
1.566140e+03	5.221114e-01	1.679866e+02
1.566658e+03	5.221114e-01	1.679765e+02
1.567176e+03	5.221114e-01	1.679664e+02
1.567694e+03	5.221114e-01	1.679564e+02
1.568212e+03	5.221114e-01	1.679464e+02
1.568731e+03	5.221114e-01	1.679363e+02
1.569249e+03	5.221114e-01	1.679263e+02
1.569767e+03	5.221114e-01	1.679163e+02
1.570285e+03	5.221114e-01	1.679063e+02
1.570803e+03	5.221114e-01	1.678963e+02
1.571321e+03	5.221114e-01	1.678864e+02
1.571839e+03	5.221114e-01	1.678764e+02
1.572358e+03	5.221114e-01	1.678664e+02
1.572876e+03	5.221114e-01	1.678565e+02
1.573394e+03	5.221114e-01	1.678465e+02
1.573912e+03	5.221114e-01	1.678366e+02
1.574430e+03	5.221114e-01	1.678267e+02
1.574948e+03	5.221114e-01	1.678167e+02
1.575466e+03	5.221114e-01	1.678068e+02
1.575984e+03	5.221114e-01	1.677969e+02
1.576503e+03	5.221114e-01	1.677870e+02
1.577021e+03	5.221114e-01	1.677772e+02
1.577539e+03	5.221114e-01	1.677673e+02
1.578057e+03	5.221114e-01	1.677574e+02
1.578575e+03	5.221114e-01	1.677476e+02
1.579093e+03	5.221114e-01	1.677377e+02
1.579611e+03	5.221114e-01	1.677279e+02
1.580130e+03	5.221114e-01	1.677180e+02
1.580648e+03	5.221114e-01	1.677082e+02
1.581166e+03	5.221114e-01	1.676984e+02
1.581684e+03	5.221114e-01	1.676886e+02
1.582202e+03	5.221114e-01	1.676788e+02
1.582720e+03	5.221114e-01	1.676690e+02
1.583238e+03	5.221114e-01	1.676593e+02
1.583756e+03	5.221114e-01	1.676495e+02
1.584275e+03	5.221114e-01	1.676397e+02
1.584793e+03	5.221114e-01	1.676300e+02
1.585311e+03	5.221114e-01	1.676202e+02
1.585829e+03	5.221114e-01	1.676105e+02
1.586347e+03	5.221114e-01	1.676008e+02
1.586865e+03	5.221114e-01	1.675911e+02
1.587383e+03	5.221114e-01	1.675813e+02
1.587902e+03	5.221114e-01	1.675716e+02
1.588420e+03	5.221114e-01	1.675620e+02
1.588938e+03	5.221114e-01	1.675523e+02
1.589456e+03	5.221114e-01	1.675426e+02
1.589974e+03	5.221114e-01	1.675329e+02
1.590492e+03	5.221114e-01	1.675233e+02
1.591010e+03	5.221114e-01	1.675136e+02
1.591528e+03	5.221114e-01	1.675040e+02
1.592047e+03	5.221114e-01	1.674944e+02
1.592565e+03	5.221114e-01	1.674847e+02
1.593083e+03	5.221114e-01	1.674751e+02
1.593601e+03	5.221114e-01	1.674655e+02
1.594119e+03	5.221114e-01	1.674559e+02
1.594637e+03	5.221114e-01	1.674463e+02
1.595155e+03	5.221114e-01	1.674368e+02
1.595674e+03	5.221114e-01	1.674272e+02
1.596192e+03	5.221114e-01	1.674176e+02
1.596710e+03	5.221114e-01	1.674081e+02
1.597228e+03	5.221114e-01	1.673985e+02
1.597746e+03	5.221114e-01	1.673890e+02
1.598264e+03	5.221114e-01	1.673795e+02
1.598782e+03	5.221114e-01	1.673700e+02
1.599301e+03	5.221114e-01	1.673605e+02
1.599819e+03	5.221114e-01	1.673509e+02
1.600337e+03	5.221114e-01	1.673415e+02
1.600855e+03	5.221114e-01	1.673320e+02
1.601373e+03	5.221114e-01	1.673225e+02
1.601891e+03	5.221114e-01	1.673130e+02
1.602409e+03	5.221114e-01	1.673036e+02
1.602927e+03	5.221114e-01	1.672941e+02
1.603446e+03	5.221114e-01	1.672847e+02
1.603964e+03	5.221114e-01	1.672752e+02
1.604482e+03	5.221114e-01	1.672658e+02
1.605000e+03	5.221114e-01	1.672564e+02
1.605518e+03	5.221114e-01	1.672470e+02
1.606036e+03	5.221114e-01	1.672376e+02
1.606554e+03	5.221114e-01	1.672282e+02
1.607073e+03	5.221114e-01	1.672188e+02
1.607591e+03	5.221114e-01	1.672094e+02
1.608109e+03	5.221114e-01	1.672001e+02
1.608627e+03	5.221114e-01	1.671907e+02
1.609145e+03	5.221114e-01	1.671814e+02
1.609663e+03	5.221114e-01	1.671720e+02
1.610181e+03	5.221114e-01	1.671627e+02
1.610699e+03	5.221114e-01	1.671534e+02
1.611218e+03	5.221114e-01	1.671440e+02
1.611736e+03	5.221114e-01	1.671347e+02
1.612254e+03	5.221114e-01	1.671254e+02
1.612772e+03	5.221114e-01	1.671161e+02
1.613290e+03	5.221114e-01	1.671069e+02
1.613808e+03	5.221114e-01	1.670976e+02
1.614326e+03	5.221114e-01	1.670883e+02
1.614845e+03	5.221114e-01	1.670791e+02
1.615363e+03	5.221114e-01	1.670698e+02
1.615881e+03	5.221114e-01	1.670606e+02
1.616399e+03	5.221114e-01	1.670513e+02
1.616917e+03	5.221114e-01	1.670421e+02
1.617435e+03	5.221114e-01	1.670329e+02
1.617953e+03	5.221114e-01	1.670237e+02
1.618472e+03	5.221114e-01	1.670145e+02
1.618990e+03	5.221114e-01	1.670053e+02
1.619508e+03	5.221114e-01	1.669961e+02
1.620026e+03	5.221114e-01	1.669869e+02
1.620544e+03	5.221114e-01	1.669778e+02
1.621062e+03	5.221114e-01	1.669686e+02
1.621580e+03	5.221114e-01	1.669594e+02
1.622098e+03	5.221114e-01	1.669503e+02
1.622617e+03	5.221114e-01	1.669412e+02
1.623135e+03	5.221114e-01	1.669320e+02
1.623653e+03	5.221114e-01	1.669229e+02
1.624171e+03	5.221114e-01	1.669138e+02
1.624689e+03	5.221114e-01	1.669047e+02
1.625207e+03	5.221114e-01	1.668956e+02
1.625725e+03	5.221114e-01	1.668865e+02
1.626244e+03	5.221114e-01	1.668774e+02
1.626762e+03	5.221114e-01	1.668684e+02
1.627280e+03	5.221114e-01	1.668593e+02
1.627798e+03	5.221114e-01	1.668503e+02
1.628316e+03	5.221114e-01	1.668412e+02
1.628834e+03	5.221114e-01	1.668322e+02
1.629352e+03	5.221114e-01	1.668231e+02
1.629870e+03	5.221114e-01	1.668141e+02
1.630389e+03	5.221114e-01	1.668051e+02
1.630907e+03	5.221114e-01	1.667961e+02
1.631425e+03	5.221114e-01	1.667871e+02
1.631943e+03	5.221114e-01	1.667781e+02
1.632461e+03	5.221114e-01	1.667691e+02
1.632979e+03	5.221114e-01	1.667602e+02
1.633497e+03	5.221114e-01	1.667512e+02
1.634016e+03	5.221114e-01	1.667422e+02
1.634534e+03	5.221114e-01	1.667333e+02
1.635052e+03	5.221114e-01	1.667243e+02
1.635570e+03	5.221114e-01	1.667154e+02
1.636088e+03	5.221114e-01	1.667065e+02
1.636606e+03	5.221114e-01	1.666976e+02
