  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
1.371244e+02	3.143397e+00	5.378373e+02
1.376425e+02	3.143397e+00	5.376207e+02
1.381606e+02	3.143397e+00	5.374044e+02
1.386788e+02	3.143397e+00	5.371884e+02
1.391969e+02	3.143397e+00	5.369727e+02
1.397150e+02	3.143397e+00	5.367572e+02
1.402332e+02	3.143397e+00	5.365420e+02
1.407513e+02	3.143397e+00	5.363271e+02
1.412694e+02	3.143397e+00	5.361125e+02
1.417876e+02	3.143397e+00	5.358981e+02
1.423057e+02	3.143397e+00	5.356840e+02
1.428238e+02	3.143397e+00	5.354701e+02
1.433420e+02	3.143397e+00	5.352565e+02
1.438601e+02	3.143397e+00	5.350432e+02
1.443782e+02	3.143397e+00	5.348301e+02
1.448964e+02	3.143397e+00	5.346173e+02
1.454145e+02	3.143397e+00	5.344047e+02
1.459326e+02	3.143397e+00	5.341924e+02
1.464508e+02	3.143397e+00	5.339803e+02
1.469689e+02	3.143397e+00	5.337685e+02
1.474870e+02	3.143397e+00	5.335569e+02
1.480052e+02	3.143397e+00	5.333456e+02
1.485233e+02	3.143397e+00	5.331345e+02
1.490415e+02	3.143397e+00	5.329237e+02
1.495596e+02	3.143397e+00	5.327131e+02
1.500777e+02	3.143397e+00	5.325028e+02
1.505959e+02	3.143397e+00	5.322927e+02
1.511140e+02	3.143397e+00	5.320828e+02
1.516321e+02	3.143397e+00	5.318732e+02
1.521503e+02	3.143397e+00	5.316638e+02
1.526684e+02	3.143397e+00	5.314546e+02
1.531865e+02	3.143397e+00	5.312457e+02
1.537047e+02	3.143397e+00	5.310370e+02
1.542228e+02	3.143397e+00	5.308286e+02
1.547409e+02	3.143397e+00	5.306203e+02
1.552591e+02	3.143397e+00	5.304124e+02
1.557772e+02	3.143397e+00	5.302046e+02
1.562953e+02	3.143397e+00	5.299971e+02
1.568135e+02	3.143397e+00	5.297897e+02
1.573316e+02	3.143397e+00	5.295827e+02
1.578497e+02	3.143397e+00	5.293758e+02
1.583679e+02	3.143397e+00	5.291692e+02
1.588860e+02	3.143397e+00	5.289628e+02
1.594041e+02	3.143397e+00	5.287566e+02
1.599223e+02	3.143397e+00	5.285506e+02
1.604404e+02	3.143397e+00	5.283449e+02
1.609585e+02	3.143397e+00	5.281393e+02
1.614767e+02	3.143397e+00	5.279340e+02
1.619948e+02	3.143397e+00	5.277289e+02
1.625130e+02	3.143397e+00	5.275241e+02
1.630311e+02	3.143397e+00	5.273194e+02
1.635492e+02	3.143397e+00	5.271150e+02
1.640674e+02	3.143397e+00	5.269107e+02
1.645855e+02	3.143397e+00	5.267067e+02
1.651036e+02	3.143397e+00	5.265029e+02
1.656218e+02	3.143397e+00	5.262993e+02
1.661399e+02	3.143397e+00	5.260959e+02
1.666580e+02	3.143397e+00	5.258928e+02
1.671762e+02	3.143397e+00	5.256898e+02
1.676943e+02	3.143397e+00	5.254871e+02
1.682124e+02	3.143397e+00	5.252845e+02
1.687306e+02	3.143397e+00	5.250822e+02
1.692487e+02	3.143397e+00	5.248800e+02
1.697668e+02	3.143397e+00	5.246781e+02
1.702850e+02	3.143397e+00	5.244764e+02
1.708031e+02	3.143397e+00	5.242749e+02
1.713212e+02	3.143397e+00	5.240736e+02
1.718394e+02	3.143397e+00	5.238725e+02
1.723575e+02	3.143397e+00	5.236716e+02
1.728756e+02	3.143397e+00	5.234709e+02
1.733938e+02	3.143397e+00	5.232704e+02
1.739119e+02	3.143397e+00	5.230701e+02
1.744301e+02	3.143397e+00	5.228700e+02
1.749482e+02	3.143397e+00	5.226701e+02
1.754663e+02	3.143397e+00	5.224704e+02
1.759845e+02	3.143397e+00	5.222709e+02
1.765026e+02	3.143397e+00	5.220716e+02
1.770207e+02	3.143397e+00	5.218724e+02
1.775389e+02	3.143397e+00	5.216735e+02
1.780570e+02	3.143397e+00	5.214748e+02
1.785751e+02	3.143397e+00	5.212763e+02
1.790933e+02	3.143397e+00	5.210780e+02
1.796114e+02	3.143397e+00	5.208798e+02
1.801295e+02	3.143397e+00	5.206819e+02
1.806477e+02	3.143397e+00	5.204842e+02
1.811658e+02	3.143397e+00	5.202866e+02
1.816839e+02	3.143397e+00	5.200893e+02
1.822021e+02	3.143397e+00	5.198921e+02
1.827202e+02	3.143397e+00	5.196951e+02
1.832383e+02	3.143397e+00	5.194983e+02
1.837565e+02	3.143397e+00	5.193017e+02
1.842746e+02	3.143397e+00	5.191053e+02
1.847927e+02	3.143397e+00	5.189091e+02
1.853109e+02	3.143397e+00	5.187131e+02
1.858290e+02	3.143397e+00	5.185173e+02
1.863472e+02	3.143397e+00	5.183216e+02
1.868653e+02	3.143397e+00	5.181262e+02
1.873834e+02	3.143397e+00	5.179309e+02
1.879016e+02	3.143397e+00	5.177358e+02
1.884197e+02	3.143397e+00	5.175409e+02
1.889378e+02	3.143397e+00	5.173462e+02
1.894560e+02	3.143397e+00	5.171517e+02
1.899741e+02	3.143397e+00	5.169574e+02
1.904922e+02	3.143397e+00	5.167632e+02
1.910104e+02	3.143397e+00	5.165693e+02
1.915285e+02	3.143397e+00	5.163755e+02
1.920466e+02	3.143397e+00	5.161819e+02
1.925648e+02	3.143397e+00	5.159885e+02
1.930829e+02	3.143397e+00	5.157952e+02
1.936010e+02	3.143397e+00	5.156022e+02
1.941192e+02	3.143397e+00	5.154093e+02
1.946373e+02	3.143397e+00	5.152166e+02
1.951554e+02	3.143397e+00	5.150241e+02
1.956736e+02	3.143397e+00	5.148318e+02
1.961917e+02	3.143397e+00	5.146397e+02
1.967098e+02	3.143397e+00	5.144477e+02
1.972280e+02	3.143397e+00	5.142559e+02
1.977461e+02	3.143397e+00	5.140643e+02
1.982642e+02	3.143397e+00	5.138729e+02
1.987824e+02	3.143397e+00	5.136817e+02
1.993005e+02	3.143397e+00	5.134906e+02
1.998187e+02	3.143397e+00	5.132997e+02
2.003368e+02	3.143397e+00	5.131090e+02
2.008549e+02	3.143397e+00	5.129185e+02
2.013731e+02	3.143397e+00	5.127282e+02
2.018912e+02	3.143397e+00	5.125380e+02
2.024093e+02	3.143397e+00	5.123480e+02
2.029275e+02	3.143397e+00	5.121582e+02
2.034456e+02	3.143397e+00	5.119685e+02
2.039637e+02	3.143397e+00	5.117791e+02
2.044819e+02	3.143397e+00	5.115898e+02
2.050000e+02	3.143397e+00	5.114007e+02
2.055181e+02	3.143397e+00	5.112117e+02
2.060363e+02	3.143397e+00	5.110230e+02
2.065544e+02	3.143397e+00	5.108344e+02
2.070725e+02	3.143397e+00	5.106460e+02
2.075907e+02	3.143397e+00	5.104577e+02
2.081088e+02	3.143397e+00	5.102697e+02
2.086269e+02	3.143397e+00	5.100818e+02
2.091451e+02	3.143397e+00	5.098941e+02
2.096632e+02	3.143397e+00	5.097065e+02
2.101813e+02	3.143397e+00	5.095192e+02
2.106995e+02	3.143397e+00	5.093320e+02
2.112176e+02	3.143397e+00	5.091449e+02
2.117358e+02	3.143397e+00	5.089581e+02
2.122539e+02	3.143397e+00	5.087714e+02
2.127720e+02	3.143397e+00	5.085849e+02
2.132902e+02	3.143397e+00	5.083986e+02
2.138083e+02	3.143397e+00	5.082124e+02
2.143264e+02	3.143397e+00	5.080264e+02
2.148446e+02	3.143397e+00	5.078406e+02
2.153627e+02	3.143397e+00	5.076549e+02
2.158808e+02	3.143397e+00	5.074694e+02
2.163990e+02	3.143397e+00	5.072841e+02
2.169171e+02	3.143397e+00	5.070990e+02
2.174352e+02	3.143397e+00	5.069140e+02
2.179534e+02	3.143397e+00	5.067292e+02
2.184715e+02	3.143397e+00	5.065446e+02
2.189896e+02	3.143397e+00	5.063601e+02
2.195078e+02	3.143397e+00	5.061758e+02
2.200259e+02	3.143397e+00	5.059917e+02
2.205440e+02	3.143397e+00	5.058077e+02
2.210622e+02	3.143397e+00	5.056239e+02
2.215803e+02	3.143397e+00	5.054403e+02
2.220984e+02	3.143397e+00	5.052568e+02
2.226166e+02	3.143397e+00	5.050735e+02
2.231347e+02	3.143397e+00	5.048904e+02
2.236528e+02	3.143397e+00	5.047075e+02
2.241710e+02	3.143397e+00	5.045247e+02
2.246891e+02	3.143397e+00	5.043420e+02
2.252073e+02	3.143397e+00	5.041596e+02
2.257254e+02	3.143397e+00	5.039773e+02
2.262435e+02	3.143397e+00	5.037952e+02
2.267617e+02	3.143397e+00	5.036132e+02
2.272798e+02	3.143397e+00	5.034314e+02
2.277979e+02	3.143397e+00	5.032498e+02
2.283161e+02	3.143397e+00	5.030683e+02
2.288342e+02	3.143397e+00	5.028870e+02
2.293523e+02	3.143397e+00	5.027059e+02
2.298705e+02	3.143397e+00	5.025249e+02
2.303886e+02	3.143397e+00	5.023441e+02
2.309067e+02	3.143397e+00	5.021634e+02
2.314249e+02	3.143397e+00	5.019830e+02
2.319430e+02	3.143397e+00	5.018026e+02
2.324611e+02	3.143397e+00	5.016225e+02
2.329793e+02	3.143397e+00	5.014425e+02
2.334974e+02	3.143397e+00	5.012627e+02
2.340155e+02	3.143397e+00	5.010830e+02
2.345337e+02	3.143397e+00	5.009035e+02
2.350518e+02	3.143397e+00	5.007242e+02
2.355699e+02	3.143397e+00	5.005450e+02
2.360881e+02	3.143397e+00	5.003660e+02
2.366062e+02	3.143397e+00	5.001871e+02
2.371244e+02	3.143397e+00	5.000084e+02
2.376425e+02	3.143397e+00	4.998299e+02
