  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volAverage(T)
1.474870e+02	5.221114e-01	5.491427e+02
1.480052e+02	5.221114e-01	5.489207e+02
1.485233e+02	5.221114e-01	5.486988e+02
1.490415e+02	5.221114e-01	5.484772e+02
1.495596e+02	5.221114e-01	5.482557e+02
1.500777e+02	5.221114e-01	5.480345e+02
1.505959e+02	5.221114e-01	5.478135e+02
1.511140e+02	5.221114e-01	5.475926e+02
1.516321e+02	5.221114e-01	5.473720e+02
1.521503e+02	5.221114e-01	5.471515e+02
1.526684e+02	5.221114e-01	5.469312e+02
1.531865e+02	5.221114e-01	5.467112e+02
1.537047e+02	5.221114e-01	5.464913e+02
1.542228e+02	5.221114e-01	5.462716e+02
1.547409e+02	5.221114e-01	5.460522e+02
1.552591e+02	5.221114e-01	5.458329e+02
1.557772e+02	5.221114e-01	5.456138e+02
1.562953e+02	5.221114e-01	5.453949e+02
1.568135e+02	5.221114e-01	5.451762e+02
1.573316e+02	5.221114e-01	5.449577e+02
1.578497e+02	5.221114e-01	5.447394e+02
1.583679e+02	5.221114e-01	5.445213e+02
1.588860e+02	5.221114e-01	5.443034e+02
1.594041e+02	5.221114e-01	5.440857e+02
1.599223e+02	5.221114e-01	5.438682e+02
1.604404e+02	5.221114e-01	5.436508e+02
1.609585e+02	5.221114e-01	5.434337e+02
1.614767e+02	5.221114e-01	5.432167e+02
1.619948e+02	5.221114e-01	5.430000e+02
1.625130e+02	5.221114e-01	5.427834e+02
1.630311e+02	5.221114e-01	5.425671e+02
1.635492e+02	5.221114e-01	5.423509e+02
1.640674e+02	5.221114e-01	5.421349e+02
1.645855e+02	5.221114e-01	5.419191e+02
1.651036e+02	5.221114e-01	5.417035e+02
1.656218e+02	5.221114e-01	5.414881e+02
1.661399e+02	5.221114e-01	5.412729e+02
1.666580e+02	5.221114e-01	5.410579e+02
1.671762e+02	5.221114e-01	5.408430e+02
1.676943e+02	5.221114e-01	5.406284e+02
1.682124e+02	5.221114e-01	5.404139e+02
1.687306e+02	5.221114e-01	5.401997e+02
1.692487e+02	5.221114e-01	5.399856e+02
1.697668e+02	5.221114e-01	5.397717e+02
1.702850e+02	5.221114e-01	5.395580e+02
1.708031e+02	5.221114e-01	5.393445e+02
1.713212e+02	5.221114e-01	5.391312e+02
1.718394e+02	5.221114e-01	5.389181e+02
1.723575e+02	5.221114e-01	5.387052e+02
1.728756e+02	5.221114e-01	5.384924e+02
1.733938e+02	5.221114e-01	5.382799e+02
1.739119e+02	5.221114e-01	5.380675e+02
1.744301e+02	5.221114e-01	5.378553e+02
1.749482e+02	5.221114e-01	5.376433e+02
1.754663e+02	5.221114e-01	5.374315e+02
1.759845e+02	5.221114e-01	5.372199e+02
